Included in dataset,Reason for non-inclusion,Myrmecomorphy?,Imperfect mimicry?,Mimic taxon,Mimic order,Mimic class,Model taxon,Model order,Model class,Common rank,Operator,Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
,Not about mimicry,,,,,,,,,,,Rapid diversification and not clade age explains high diversity in neotropical Adelpha butterflies,"Mullen, Sean P.; Savage, Wesley K.; Wahlberg, Niklas; Willmott, Keith R.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JUN 22 2011,2011,278,1713,,,,1777,1785,,10.1098/rspb.2010.2140,,,29,4.14
,,,,,,,,,,,,"On the evolution of warning coloration, Batesian and Mullerian mimicry in Neotropical butterflies: the role of jacamars (Galbulidae) and tyrant-flycatchers (Tyrannidae)","Pinheiro, Carlos E. G.",,,,JOURNAL OF AVIAN BIOLOGY,Jul-11,2011,42,4,,,,277,281,,10.1111/j.1600-048X.2011.05435.x,,,7,1
,,,,,,,,,,,,Evidence for unpalatability in the genus Delias Hubner (Lepidoptera: Pieridae) and its role in mimetic assemblages.,"Orr, A.G.",,,,Australian Entomologist,19-Nov-99,1999,26,2,,,,45,52,,,,,9,0.47
,,,,,,,,,,,,"A NEW APTEROUS MICROPEZID FLY (DIPTERA, SCHIZOPHORA) FROM WESTERN AUSTRALIA","MCALPINE, DK",,,,SYSTEMATIC ENTOMOLOGY,Jan-90,1990,15,1,,,,81,86,,10.1111/j.1365-3113.1990.tb00305.x,,,7,0.25
,,,,,,,,,,,,NOTES ON MIMICRY BETWEEN 2 TROPICAL BEETLES IN SOUTH-EASTERN BRAZIL,"DELCLARO, K",,,,JOURNAL OF TROPICAL ECOLOGY,Aug-91,1991,7,,3,,,407,410,,,,,4,0.15
,,,,,,,,,,,,"Teletusa limpida (Signoret): a Neotropical proconiine leafhopper that mimics megachilid bees (Hymenoptera: Apoidea), with notes on Batesian mimicry in the subfamily Cicadellinae (Hemiptera: Cicadellidae).","Mejdalani, Gabriel; Ceotto, Paula; Felix, Marcio; Takiya, Daniela M.; Yanega, Douglas",,,,Denisia,2002,2002,4,,,,,215,224,,,,,2,0.12
,,,,,,,,,,,,"Redescription of the genus Curiades Pascoe 1880 (Coleoptera: Curculionidae: Entiminae: Naupactini), a potential mimic of Mutillidae from Brazil","Guadalupe Del Rio, M.; Lanteri, Analia A.",,,,ZOOTAXA,DEC 3 2012,2012,,3570,,,,82,88,,,,,0,0
,,,,,,,,,,,,Batesian mimicry promotes pre- and postmating isolation in a snake mimicry complex,"Pfennig, David W.; Akcali, Christopher K.; Kikuchi, David W.",,,,EVOLUTION,Apr-15,2015,69,4,,,,1085,1090,,10.1111/evo.12624,,,1,0.33
,,,,,,,,,,,,"Vision-based ability of an ant-mimicking jumping spider to discriminate between models, conspecific individuals and prey","Nelson, X. J.; Jackson, R. R.",,,,INSECTES SOCIAUX,2007,2007,54,1,,,,1,4,,10.1007/s00040-006-0901-x,,,6,0.55
,,,,,,,,,,,,ASTERACEAE - AN EVALUATION OF HUTCHINSONS BEETLE-DAISY HYPOTHESIS,"MIDGLEY, JJ",,,,BOTHALIA,May-93,1993,23,1,,,,70,72,,,,,6,0.24
,,,,,,,,,,,,Mimicry in the Zygopinae (Coleoptera: Curculionidae),"Hespenheide, Henry A.",,,"Anderson, R. S.; Lyal, C. H. C.",Memoirs of the Entomological Society of Washington; Biology and phylogeny of Curculionoidea,1995,1995,14,,,,,145,154,,,Symposium Convened at the XVIII International Congress of Entomology,"July 3-9, 1988",0,0
,,,,,,,,,,,,Hoverflies are imperfect mimics of wasp colouration,"Taylor, Christopher H.; Reader, Tom; Gilbert, Francis",,,,EVOLUTIONARY ECOLOGY,Jun-16,2016,30,3,,,,567,581,,10.1007/s10682-016-9824-9,,,0,0
,,,,,,,,,,,,"The natural history of Myrmarachne melanotarsa, a social ant-mimicking jumping spider","Jackson, Robert R.; Nelson, Ximena J.; Salm, Kathryn",,,,NEW ZEALAND JOURNAL OF ZOOLOGY,Sep-08,2008,35,3,,,,225,235,,,,,20,2
,Theoretical,,,,,,,,,,,MIMICRY - STATUS OF A CLASSICAL EVOLUTIONARY PARADIGM,"MALCOLM, SB",,,,TRENDS IN ECOLOGY & EVOLUTION,Feb-90,1990,5,2,,,,57,62,,10.1016/0169-5347(90)90049-J,,,52,1.86
,,,,,,,,,,,,A single origin of Batesian mimicry among hybridizing populations of admiral butterflies (Limenitis arthemis) rejects an evolutionary reversion to the ancestral phenotype,"Savage, Wesley K.; Mullen, Sean P.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JUL 22 2009,2009,276,1667,,,,2557,2565,,10.1098/rspb.2009.0256,,,13,1.44
,,,,,,,,,,,,Coexistence Patterns Between Ants And Spiders In Grassland Habitats,"Rakoczi, A. M.; Samu, F.",,,,SOCIOBIOLOGY,2014,2014,61,2,,,,171,177,,,,,0,0
,Not about mimicry,,,,,,,,,,,Specialized pollination systems in southern Africa,"Johnson, SD; Steiner, KE",,,,SOUTH AFRICAN JOURNAL OF SCIENCE,JUL-AUG 2003,2003,99,07-Aug,,,,345,348,,,,,51,3.4
,,,,,,,,,,,,Henry Walter Bates' contribution to Darwinism: a theory of mimicry.,"Payne, T.",,,,Kentucky Lepidopterist,1988,1988,14,3,,,,5,11,,,,,0,0
,,,,Artificial,,,Artificial,,,,Predator/human,The evolution of warning signals as reliable indicators of prey defense,"Sherratt, TN; Beatty, CD",,,,AMERICAN NATURALIST,Oct-03,2003,162,4,,,,377,389,,10.1086/378047,,,86,5.73
,,,,,,,,,,,,Evidence for spittlebug warning colouration and mimicry between Aphrophorine and Cercopine species in a Peruvian valley,"Hamilton, A. G. Andrew; Thompson, Vinton",,,,Biodiversity (Ottawa),2007,2007,8,2,,,,3,6,,,,,1,0.09
,,,,,,,,,,,,Convergent evolution of floral signals underlies the success of Neotropical orchids,"Papadopulos, Alexander S. T.; Powell, Martyn P.; Pupulin, Franco; Warner, Jorge; Hawkins, Julie A.; Salamin, Nicolas; Chittka, Lars; Williams, Norris H.; Whitten, W. Mark; Loader, Deniz; Valente, Luis M.; Chase, Mark W.; Savolainen, Vincent",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,AUG 22 2013,2013,280,1765,,,,,,20130960,10.1098/rspb.2013.0960,,,16,3.2
,,,,,,,,,,,,Mimicry profiles are affected by human-induced habitat changes,"Azmeh, S; Owen, J; Sorensen, K; Grewcock, D; Gilbert, F",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,DEC 7 1998,1998,265,1412,,,,2285,2290,,,,,16,0.8
,,,,Artificial,,,Artificial,,,,Predator/great tit,Investigating Mullerian mimicry: predator learning and variation in prey defences,"Ihalainen, E.; Lindstrom, L.; Mappes, J.",,,,JOURNAL OF EVOLUTIONARY BIOLOGY,Mar-07,2007,20,2,,,,780,791,,10.1111/j.1420-9101.2006.01234.x,,,36,3.27
,,,,,,,,,,,,Dissecting butterfly wing pattern formation in Batesian and Mullerian mimicry,"Chamberlain, N.; Baxter, S.; Jiggins, C.; Ffrench-Constant, R. H.",,,,JOURNAL OF INSECT SCIENCE,MAY 4 2007,2007,7,,,,,,,,,,,0,0
,,,,,,,,,,,,Characterising the Phenotypic Diversity of Papilio dardanus Wing Patterns Using an Extensive Museum Collection,"Thompson, Martin J.; Timmermans, Martijn J. T. N.",,,,PLOS ONE,MAY 16 2014,2014,9,5,,,,,,e96815,10.1371/journal.pone.0096815,,,4,1
,,,,,,,,,,,,Plant domestication: A model for studying the selection of linkage,"D'Ennequin, M. Le Thierry; Toupance, B.; Robert, T.; Godelle, B.; Gouyon, P. H.",,,,Journal of Evolutionary Biology,"Nov., 1999",1999,12,6,,,,1138,1147,,,,,0,0
,,,,Flower,,,Flower,,,,Pollinator,Nectarless flowers: ecological correlates and evolutionary stability,"Thakar, JD; Kunte, K; Chauhan, AK; Watve, AV; Watve, MG",,,,OECOLOGIA,Aug-03,2003,136,4,,,,565,570,,10.1007/s00442-003-1304-6,,,31,2.07
,,,,,,,,,,,,GYMNODACTYLUS GECKOIDES. DEFENSIVE BEHAVIOR,"Passos, Daniel Cunha; Mattos Dourado De Mesiquita, Paulo Cesar; Borges-Nojosa, Diva Maria",,,,Herpetological Review,Sep-12,2012,43,3,,,,486,487,,,,,0,0
,,,,,,,,,,,,Identification of doublesex alleles associated with the female-limited Batesian mimicry polymorphism in Papilio memnon,"Komata, Shinya; Lin, Chung-Ping; Iijima, Takuro; Fujiwara, Haruhiko; Sota, Teiji",,,,SCIENTIFIC REPORTS,OCT 6 2016,2016,6,,,,,,,34782,10.1038/srep34782,,,0,0
,,,,,,,,,,,,Observations on the biology of Anchieta fumosella (Westwood 1867) (Neuroptera Mantispidae) from Brazil,"Buys, Sandor Christiano",,,,TROPICAL ZOOLOGY,Jun-08,2008,21,1,,,,91,95,,,,,6,0.6
,,,,Flower,,,Flower,,,,Pollinator,Floral mimicry: a fascinating yet poorly understood phenomenon,"Roy, BA; Widmer, A",,,,TRENDS IN PLANT SCIENCE,Aug-99,1999,4,8,,,,325,330,,10.1016/S1360-1385(99)01445-4,,,78,4.11
,,,,,,,,,,,,Understanding Mimicry with Special Reference to Vocal Mimicry,"Wickler, Wolfgang",,,,ETHOLOGY,Apr-13,2013,119,4,,,,259,269,,10.1111/eth.12061,,,8,1.6
,,,,,,,,,,,,Population differences in predation on Batesian mimics in allopatry with their model: selection against mimics is strongest when they are common,"Pfennig, David W.; Harper, George R., Jr.; Brumo, Abel F.; Harcombe, William R.; Pfennig, Karin S.",,,,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,Feb-07,2007,61,4,,,,505,511,,10.1007/s00265-006-0278-x,,,26,2.36
,Not about mimicry,,,,,,,,,,,The effect of signal appearance and distance on detection risk in an aposematic butterfly larva (Parnassius apollo),"Bohlin, Titti; Tullberg, Birgitta S.; Merilaita, Sami",,,,ANIMAL BEHAVIOUR,Sep-08,2008,76,,3,,,577,584,,10.1016/j.anbehav.2008.02.012,,,32,3.2
,,,,,,,,,,,,What makes some species of milk snakes more attractive to humans than others?,"Maresova, Jana; Landova, Eva; Frynta, Daniel",,,,THEORY IN BIOSCIENCES,Nov-09,2009,128,4,,,,227,235,,10.1007/s12064-009-0075-y,,,11,1.22
,,,,,,,,,,,,New Agrilus Curtis (Coleoptera: Buprestidae) from Mexico and Costa Rica mimicking parasitic wasps,"Hespenheide, Henry A.",,,,ZOOTAXA,JUL 22 2010,2010,,2545,,,,39,46,,,,,6,0.75
,,,,,,,,,,,,A review of orchid pollination studies in China,"Tang, Guang-Da; Ou, Jing-Hui; Luo, Yi-Bo; Zhuang, Xue-Ying; Liu, Zhong-Jian",,,,JOURNAL OF SYSTEMATICS AND EVOLUTION,Jul-14,2014,52,4,,,,411,422,,10.1111/jse.12062,,,0,0
,Theoretical,,,,,,,,,,,The evolution of mimicry under constraints,"Holen, OH; Johnstone, RA",,,,AMERICAN NATURALIST,Nov-04,2004,164,5,,,,598,613,,10.1086/424972,,,40,2.86
,,,,,,,,,,,,Discriminative predation: Simultaneous and sequential encounter experiments,"Beatty, C. D.; Franks, D. W.",,,,CURRENT ZOOLOGY,2012,2012,58,4,,,,649,657,,,,,7,1.17
,,,,Flower,,,Flower,,,,Pollinator,Deception in plants: mimicry or perceptual exploitation?,"Schaefer, H. Martin; Ruxton, Graeme D.",,,,TRENDS IN ECOLOGY & EVOLUTION,Dec-09,2009,24,12,,,,676,685,,10.1016/j.tree.2009.06.006,,,73,8.11
,,,,,,,,,,,,Inaccurate mimicry and predator ecology,"Reinhold, K; Engqvist, L",,,,JOURNAL OF THEORETICAL BIOLOGY,AUG 21 2004,2004,229,4,,,,433,434,,10.1016/j.jtbi.2004.04.030,,,1,0.07
,,,,,,,,,,,,"Color in camouflage, mimicry, and warning signals","Stevens, Martin; Arenas, Lina Maria; Lown, Alice E.",,,"Elliot, AJ; Fairchild, MD; Franklin, A",HANDBOOK OF COLOR PSYCHOLOGY,2015,2015,,,,,,357,376,,,,,0,0
,,,,,,,,,,,,Dual mimicry in the dimorphic eusocial wasp Mischocyttarus mastigophorus Richards (Hymenoptera : Vespidae),"O'Donnell, S",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Apr-99,1999,66,4,,,,501,514,,10.1111/j.1095-8312.1999.tb01923.x,,,8,0.42
,,,,,,,,,,,,Assessment of color and behavioral resemblance to models by inaccurate myrmecomorphic spiders (Araneae),"Pekar, Stano; Jarab, Martin",,,,INVERTEBRATE BIOLOGY,2011,2011,130,1,,,,83,90,,10.1111/j.1744-7410.2010.00217.x,,,12,1.71
,,,,Ladybird,,,Ladybird,,,,Predator,"Chemical defence in laybird beetles (Coccinellidae). 2. Amount of reflex fluid, the alkaloid adaline and individual variation in defence in 2-spot ladybirds (Adalia bipunctata).","de Jong, P.W.; Holloway, G.J.; Brakefield, P.M.; de Vos, H.",,,,Chemoecology,1991,1991,2,1,,,,15,19,,,,,46,1.7
,,,,,,,,,,,,The status of supergenes in the 21st century: recombination suppression in Batesian mimicry and sex chromosomes and other complex adaptations,"Charlesworth, Deborah",,,,EVOLUTIONARY APPLICATIONS,Jan-16,2016,9,1,,,SI,74,90,,10.1111/eva.12291,,,5,2.5
,,,,Syrphid,,,Hymenoptera,,,,Predator,A comparative analysis of the evolution of imperfect mimicry,"Penney, Heather D.; Hassall, Christopher; Skevington, Jeffrey H.; Abbott, Kevin R.; Sherratt, Thomas N.",,,,NATURE,MAR 22 2012,2012,483,7390,,,,461,U110,,10.1038/nature10961,,,68,11.33
,,,,,,,,,,,,Visual cues used by ant-like jumping spiders to distinguish conspecifics from their models,"Nelson, Ximena J.",,,,JOURNAL OF ARACHNOLOGY,2010,2010,38,1,,,,27,34,,,,,5,0.62
,,,,,,,,,,,,"The subadult of the labrid fish Novaculoides macrolepidotus, a mimic of waspfishes of the genus Ablabys.","Randall, John E.; Spreinat, Andreas",,,,Aqua (Miradolo Terme),Mar-04,2004,8,2,,,,45,48,,,,,2,0.14
,,,,,,,,,,,,REPRODUCTION AND THE ENERGY-COST OF DEFENSE IN A BATESIAN MIMICRY COMPLEX,"HETZ, M; SLOBODCHIKOFF, CN",,,,OECOLOGIA,1990,1990,84,1,,,,69,73,,10.1007/BF00665597,,,4,0.14
,,,,,,,,,,,,MIMICRY IN BIRD FLOCKS OF CLOUD FORESTS IN SOUTHEASTERN BRAZIL,WILLIAS E O,,,,Revista Brasileira de Biologia,1989,1989,49,2,,,,615,620,,,,,9,0.31
,,,,,,,,,,,,"INTERSEXUAL COMPARISON OF MIMETIC PROTECTION IN THE BLACK SWALLOWTAIL BUTTERFLY, PAPILIO-POLYXENES - EXPERIMENTS WITH CAPTIVE BLUE JAY PREDATORS","CODELLA, SG; LEDERHOUSE, RC",,,,EVOLUTION,Mar-89,1989,43,2,,,,410,420,,10.2307/2409216,,,25,0.86
,,,,,,,,,,,,"A case of Batesian mimetism Conus unifasciatus Kiener, 1845 Imbricaria carbonacea Hinds, 1844.","Paganelli, Giancarlo",,,,Cone Collector,Apr-08,2008,6,,,,,25,,,,,,0,0
,,,,,,,,,,,,Unlinked Mendelian inheritance of red and black pigmentation in snakes: Implications for Batesian mimicry,"Rabosky, Alison R. Davis; Cox, Christian L.; Rabosky, Daniel L.",,,,EVOLUTION,Apr-16,2016,70,4,,,,944,953,,10.1111/evo.12902,,,0,0
,,,,,,,,,,,,Comparative analysis of passive defences in spiders (Araneae),"Pekar, Stano",,,,JOURNAL OF ANIMAL ECOLOGY,Jul-14,2014,83,4,,,,779,790,,10.1111/1365-2656.12177,,,5,1.25
,,,,Butterfly,,,Butterfly,,,,Butterfly,"MATE CHOICE IN THE POLYMORPHIC AFRICAN SWALLOWTAIL BUTTERFLY, PAPILIO-DARDANUS - MALE-LIKE FEMALES MAY AVOID SEXUAL HARASSMENT","COOK, SE; VERNON, JG; BATESON, M; GUILFORD, T",,,,ANIMAL BEHAVIOUR,Feb-94,1994,47,2,,,,389,397,,10.1006/anbe.1994.1053,,,64,2.67
,,,,,,,,,,,,Dual-mimicry of wasps by the neotropical leafhopper Propetes schmidti Melichar with a description of its female (Hemiptera : Cicadellidae : Cicadellinae),"Takiya, DM; Mejdalani, G; Felix, M",,,,PROCEEDINGS OF THE ENTOMOLOGICAL SOCIETY OF WASHINGTON,Oct-99,1999,101,4,,,,722,728,,,,,6,0.32
,,,,,,,,,,,,New species of Mutillid Mimicking <i>Enoclerus</i> Gahan (Coleoptera: Cleridae: Clerinae) from Mexico and Central America.,"Rifkind, Jacques",,,,Zootaxa,2017 Feb 12,2017,4231,3,,,,zootaxa.4231.3.7,,,10.11646/zootaxa.4231.3.7,,,0,0
,,,,,,,,,,,,Mimetic species of Camponotus punctulatus (Formicidae),"Debandi, Guillermo; Roig-Junent, Sergio",,,,Revista de la Sociedad Entomologica Argentina,1999,1999,58,03-Apr,,,,201,208,,,,,2,0.11
,,,,,,,,,,,,FEMALE-LIMITED VARIABILITY IN MIMICRY IN THE SWALLOWTAIL BUTTERFLY PAPILIO POLYXENES FABR,"HERRELL, J; HAZEL, W",,,,HEREDITY,Jul-95,1995,75,,1,,,106,110,,10.1038/hdy.1995.110,,,6,0.26
,,,,,,,,,,,,"A remarkable new species of the genus Teinotarsina (Lepidoptera, Sesiidae) from Okinawa-jima, Japan","Yagi, Sadahisa; Hirowatari, Toshiya; Arita, Yutaka",,,,ZOOKEYS,2016,2016,,571,,,,143,152,,10.3897/zookeys.571.7780,,,0,0
,,,,,,,,,,,,Batesian mimics influence the evolution of conspicuousness in an aposematic salamander,"Kraemer, A. C.; Serb, J. M.; Adams, D. C.",,,,JOURNAL OF EVOLUTIONARY BIOLOGY,May-15,2015,28,5,,,,1016,1023,,10.1111/jeb.12622,,,2,0.67
,,,,,,,,,,,,Does bee or wasp mimicry by orchid flowers also deter herbivores?,"Lev-Yadun, Simcha; Ne'eman, Gidi",,,,ARTHROPOD-PLANT INTERACTIONS,Sep-12,2012,6,3,,,,327,332,,10.1007/s11829-012-9199-y,,,8,1.33
,Mullerian,,,Artificial,,,Artificial,,,,Predator/great tit,Co-mimics have a mutualistic relationship despite unequal defences,"Rowland, Hannah M.; Ihalainen, Eira; Lindstrom, Leena; Mappes, Johanna; Speed, Michael P.",,,,NATURE,JUL 5 2007,2007,448,7149,,,,64,67,,10.1038/nature05899,,,72,6.55
,,,,,,,,,,,,"Notes on Chlamydopsinine histerid Beetles of Japan, with description of a new species.","Nishikawa, Masaaki",,,,Elytra,Nov 15 1995,1995,23,2,,,,257,261,,,,,2,0.09
,,,,,,,,,,,,Prey from the eyes of predators: Color discriminability of aposematic and mimetic butterflies from an avian visual perspective,"Su, Shiyu; Lim, Matthew; Kunte, Krushnamegh",,,,EVOLUTION,Nov-15,2015,69,11,,,,2985,2994,,10.1111/evo.12800,,,3,1
,,,,,,,,,,,,Is inaccurate mimicry ancestral to accurate in myrmecomorphic spiders (Araneae)?,"Pekar, Stano",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Sep-14,2014,113,1,,,,97,111,,10.1111/bij.12287,,,4,1
,,,,,,,,,,,,Notes on the evolution of unpalatability in butterflies by means of individual selection.,"Kassarov, Luka",,,,Journal of Research on the Lepidoptera,1998(2003),1998,37,1,,,,71,73,,,,,0,0
,,,,Moth,,,Moth,,,,Predator/bat,Acoustic mimicry in a predator-prey interaction,"Barber, Jesse R.; Conner, William E.",,,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,MAY 29 2007,2007,104,22,,,,9331,9334,,10.1073/pnas.0703627104,,,48,4.36
,,,,Hoverfly,,,Wasp,,,,Predator/pigeon,IMPERFECT MIMICRY - A PIGEONS PERSPECTIVE,"DITTRICH, W; GILBERT, F; GREEN, P; MCGREGOR, P; GREWCOCK, D",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,MAR 22 1993,1993,251,1332,,,,195,+,,10.1098/rspb.1993.0029,,,108,4.32
,,,,,,,,,,,,Independent evolution of sexual dimorphism and female-limited mimicry in swallowtail butterflies (Papilio dardanus and Papilio phorcas).,"Timmermans, M J T N; Thompson, M J; Collins, S; Vogler, A P",,,,Molecular ecology,2017-Mar,2017,26,5,,,,1273,1284,,10.1111/mec.14012,,,0,0
,,,,,,,,,,,,Locomotor mimicry among passion-vine butterflies Heliconius.,"Srygley, RB",,,,AMERICAN ZOOLOGIST,Dec-00,2000,40,6,,,,1219,1219,,,,,1,0.06
,,,,,,,,,,,,PLANT BUGS OF QUERCUS-ILICIFOLIA - MYRIADS OF MIRIDS (HETEROPTERA) IN PITCH PINE-SCRUB OAK BARRENS,"WHEELER, AG",,,,JOURNAL OF THE NEW YORK ENTOMOLOGICAL SOCIETY,Jul-91,1991,99,3,,,,405,440,,,,,20,0.74
,,,,,,,,,,,,Pollination of Diuris maculata (Orchidaceae) by male Trichocolletes venustus bees,"Indsto, James O.; Weston, Peter H.; Clements, Mark A.; Dyer, Adrian G.; Batley, Michael; Whelan, Robert J.",,,,AUSTRALIAN JOURNAL OF BOTANY,2006,2006,54,7,,,,669,679,,10.1071/BT05146,,,22,1.83
,,,,,,,,,,,,Systematics and mimicry of the genus Neocorynura: an example of two species from Central America (Hymenoptera: Halictidae),"Smith-Pardo, Allan H.",,,,Acta Zoologica Cracoviensia,2005,2005,48B,01-Feb,,,,11,21,,10.3409/173491505783995572,,,4,0.31
,,,,,,,,,,,,"Data reliability in citizen science: learning curve and the effects of training method, volunteer background and experience on identification accuracy of insects visiting ivy flowers","Ratnieks, Francis L. W.; Schrell, Felix; Sheppard, Rebecca C.; Brown, Emmeline; Bristow, Oliver E.; Garbuzov, Mihail",,,,METHODS IN ECOLOGY AND EVOLUTION,Oct-16,2016,7,10,,,,1226,1235,,10.1111/2041-210X.12581,,,0,0
,,,,,,,,,,,,The evolution of floral mimicry: identifying traits that visually attract pollinators,"Jersakova, Jana; Juergens, Andreas; Smilauer, Petr; Johnson, Steven D.",,,,FUNCTIONAL ECOLOGY,Dec-12,2012,26,6,,,,1381,1389,,10.1111/j.1365-2435.2012.02059.x,,,16,2.67
,,,,,,,,,,,,Mimicry for all modalities,"Dalziell, Anastasia H.; Welbergen, Justin A.",,,,ECOLOGY LETTERS,Jun-16,2016,19,6,,,,609,619,,10.1111/ele.12602,,,1,0.5
,,,,,,,,,,,,New case of true mimicry in cockroaches (Blattodea),"Schmied, Heiko; Lambertz, Markus; Geissler, Peter",,,,ENTOMOLOGICAL SCIENCE,Jan-13,2013,16,1,,,,119,121,,10.1111/j.1479-8298.2012.00529.x,,,1,0.2
,,,,Snake,,,Snake,,,,Predator,Frequency-dependent batesian mimicry - Predators avoid look-alikes of venomous snakes only when the real thing is around.,"Pfennig, DW; Harcombe, WR; Pfennig, KS",,,,NATURE,MAR 15 2001,2001,410,6826,,,,323,323,,10.1038/35066628,,,100,5.88
,,,,,,,,,,,,"Ant mimicry in the spider Myrmecotypus iguazu (Araneae: Corinnidae), with notes about myrmecomorphy in spiders","Rubio, Gonzalo D.; Arbino, Manuel O.; Cushing, Paula E.",,,,JOURNAL OF ARACHNOLOGY,2013,2013,41,3,,,,395,399,,,,,4,0.8
,,,,,,,,,,,,Genes controlling mimetic colour pattern variation in butterflies,"Nadeau, Nicola J.",,,,CURRENT OPINION IN INSECT SCIENCE,Oct-16,2016,17,,,,,24,31,,10.1016/j.cois.2016.05.013,,,1,0.5
,,,,,,,,,,,,Some distasteful Asian Papilioninae (Papilionidae),"Smetacek, Peter",,,,Journal of the Lepidopterists' Society,JUL 31 2006,2006,60,2,,,,82,85,,,,,2,0.17
,,,,,,,,,,,,FEMALE MATE PREFERENCE AND THE EVOLUTION OF FEMALE-LIMITED BATESIAN MIMICRY,"KREBS, RA; WEST, DA",,,,EVOLUTION,Sep-88,1988,42,5,,,,1101,1104,,10.2307/2408927,,,20,0.67
,,,,,,,,,,,,PHOTO ESSAY MIMICRY IN ACTION,LARSEN T B,,,,Tropical Lepidoptera,1992,1992,3,1,,,,12,,,,,,0,0
,,,,,,,,,,,,Frequency-dependent success of aggressive mimics in a cleaning symbiosis,"Cheney, KL; Cote, IM",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,DEC 22 2005,2005,272,1581,,,,2635,2639,,10.1098/rspb.2005.3256,,,19,1.46
,,,,,,,,,,,,Mariposas colombianas V. Nota sobre las asociaciones mimeticas de la Mariposa Consul panariste Hewitson (Lepidoptera: Charaxidae) en el centro de Colombia (con una figura).. [Colombian butterflies V. Note on mimetic associations of the butterfly Consul panariste Hewitson (Lepidoptera: Charaxidae) in central Colombia (including illustration).],"Salazar E., Julian A.; Henao, Efrain R.",,,,Boletin Cientifico Museo de Historia Natural Universidad de Caldas,Noviembre 2003,2003,7,,,,,77,80,,,,,0,0
,Not about mimicry,,,Butterfly,,,Butterfly,,,,Predator,THE GENETICS OF WARNING COLOR IN PERUVIAN HYBRID ZONES OF HELICONIUS-ERATO AND HELICONIUS-MELPOMENE,"MALLET, J",,,,PROCEEDINGS OF THE ROYAL SOCIETY SERIES B-BIOLOGICAL SCIENCES,MAR 22 1989,1989,236,1283,,,,163,+,,10.1098/rspb.1989.0019,,,75,2.59
,,,,,,,,,,,,Courtship of a model (Adelpha; Nymphalidae) by its probable Batesian mimic (Limenitis; Nymphalidae).,"Porter, A.H.",,,,Journal of Research on the Lepidoptera,1988,1988,26,01-Apr,,,,255,256,,,,,1,0.03
,,,,,,,,,,,,A POPULATION-DYNAMIC MODEL OF BATESIAN MIMICRY,"YAMAUCHI, A",,,,RESEARCHES ON POPULATION ECOLOGY,Dec-93,1993,35,2,,,,295,315,,10.1007/BF02513602,,,8,0.32
,Not about mimicry,,,,,,,,,,,Snake bioacoustics: Toward a richer understanding of the behavioral ecology of snakes,"Young, BA",,,,QUARTERLY REVIEW OF BIOLOGY,Sep-03,2003,78,3,,,,303,325,,10.1086/377052,,,38,2.53
,,,,,,,,,,,,Un caso sorprendente de mimetismo batesiano.. [A surprising case of Batesian mimicry.],"Brenes Rendon, Jose Manuel",,,,Boletin de la SEA,Junio 1999,1999,25,,,,,62,,,,,,0,0
,,,,,,,,,,,,Do Malaysian Myrmarachne associate with particular species of ant?,"Edmunds, Malcolm",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Aug-06,2006,88,4,,,,645,653,,10.1111/j.1095-8312.2006.00649.x,,,23,1.92
,Mimicry of non-specific faces,,,Butterfly (caterpillars and pupae),,,"Snakes, lizards, birds, mammals",,,,Predator/bird,A tropical horde of counterfeit predator eyes,"Janzen, Daniel H.; Hallwachs, Winnie; Burns, John M.",,,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,JUN 29 2010,2010,107,26,,,,11659,11665,,10.1073/pnas.0912122107,,,54,6.75
,Theoretical,,,,,,,,,,,Alternative prey can change model-mimic dynamics between parasitism and mutualism,"Kokko, H; Mappes, J; Lindstrom, L",,,,ECOLOGY LETTERS,Dec-03,2003,6,12,,,,1068,1076,,10.1046/j.1461-0248.2003.00532.x,,,45,3
,,,,,,,,,,,,WING COLORATION OF FREE-FLYING NEOTROPICAL BUTTERFLIES AS A SIGNAL LEARNED BY A SPECIALIZED AVIAN PREDATOR,"CHAI, P",,,,BIOTROPICA,Mar-88,1988,20,1,,,,20,30,,10.2307/2388422,,,18,0.6
